URN,SCHNAME,ETH_WHITE_BRIT_N,ETH_WHITE_BRIT_PCT,ETH_WHITE_IRISH_N,ETH_WHITE_IRISH_PCT,ETH_TRAVELLER_N,ETH_TRAVELLER_PCT,ETH_GYPSY_ROMA_N,ETH_GYPSY_ROMA_PCT,ETH_WHITE_OTHER_N,ETH_WHITE_OTHER_PCT,ETH_MIXED_WHITE_CARIB_N,ETH_MIXED_WHITE_CARIB_PCT,ETH_MIXED_WHITE_AFR_N,ETH_MIXED_WHITE_AFR_PCT,ETH_MIXED_WHITE_ASIAN_N,ETH_MIXED_WHITE_ASIAN_PCT,ETH_MIXED_OTHER_N,ETH_MIXED_OTHER_PCT,ETH_ASIAN_INDIAN_N,ETH_ASIAN_INDIAN_PCT,ETH_ASIAN_PAKISTANI_N,ETH_ASIAN_PAKISTANI_PCT,ETH_ASIAN_BANGLADESHI_N,ETH_ASIAN_BANGLADESHI_PCT,ETH_ASIAN_OTHER_N,ETH_ASIAN_OTHER_PCT,ETH_BLACK_CARIB_N,ETH_BLACK_CARIB_PCT,ETH_BLACK_AFR_N,ETH_BLACK_AFR_PCT,ETH_BLACK_OTHER_N,ETH_BLACK_OTHER_PCT,ETH_CHINESE_N,ETH_CHINESE_PCT,ETH_OTHER_N,ETH_OTHER_PCT,ETH_UNCLASSIFIED_N,ETH_UNCLASSIFIED_PCT
100056,William Ellis School,214,26.2,12,1.5,4,0.5,0,0,91,11.1,32,3.9,14,1.7,26,3.2,61,7.5,7,0.9,10,1.2,109,13.3,12,1.5,13,1.6,114,14,10,1.2,4,0.5,62,7.6,22,2.7
100059,La Sainte Union Catholic Secondary School,110,18.8,18,3.1,1,0.2,0,0,68,11.6,19,3.2,13,2.2,10,1.7,38,6.5,5,0.9,5,0.9,18,3.1,6,1,18,3.1,169,28.8,13,2.2,0,0,55,9.4,20,3.4
100061,St Christopher's School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100062,St Margaret's School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100063,Sarum Hall School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100064,The Hall School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100065,University College School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100066,The Cavendish School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100067,"St Mary's School, Hampstead",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100068,North Bridge House Nursery & Pre-Prep Schools,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
